,index,name,location,year,millage,fuel_type,gears,owners,mpg,engine_size,power,seats,new_price,sale_price,wear_factor
463,463,Ford Ecosport 1.5 DV5 MT Titanium,Delhi,2014,31465,Diesel,Manual,First,,1498 CC,89.84 bhp,5.0,,6.5,0.08871581901430069
464,464,Volkswagen Polo Petrol Trendline 1.2L,Hyderabad,2013,76476,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,,4.4,0.013982053495639923
465,465,Hyundai Grand i10 CRDi Magna,Kolkata,2017,14000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,,4.6,0.03980286391415002
466,466,Tata Manza Aqua Quadrajet BS IV,Ahmedabad,2013,47000,Diesel,Manual,First,21.12 kmpl,1248 CC,88.8 bhp,5.0,,2.95,0.07114117883450717
467,467,Honda City 1.5 V MT,Kolkata,2011,48466,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,3.26,0.08206999882529008
468,468,Hyundai Santro Xing GLS,Bangalore,2008,46000,Petrol,Manual,Second,17.92 kmpl,1086 CC,62.1 bhp,5.0,,2.22,0.10616568332190049
469,469,Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,2012,162663,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7.0,,10.5,0.07473798942610882
470,470,Maruti Ciaz 1.3 S,Coimbatore,2017,25142,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,8.26,0.004084810308860549
471,471,Toyota Fortuner 4x4 MT TRD Sportivo,Delhi,2013,69000,Diesel,Manual,First,12.55 kmpl,2982 CC,169 bhp,7.0,,14.45,0.055929483469817624
472,472,Ford Fiesta 1.6 SXI ABS Duratec,Chennai,2009,80524,Petrol,Manual,Second,15.3 kmpl,1596 CC,null bhp,5.0,,2.5,0.09147811424295846
473,473,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,Petrol,Automatic,First,12.6 kmpl,1950 CC,191.34 bhp,5.0,86.97 Lakh,51.43,0.01177818300467513
474,474,Mercedes-Benz New C-Class 220 CDI MT,Chennai,2014,45000,Diesel,Manual,First,15.8 kmpl,2148 CC,170 bhp,5.0,,23.0,0.041868746673825806
475,475,Skoda Yeti Ambition 4X2,Kolkata,2012,64284,Diesel,Manual,First,17.72 kmpl,1968 CC,108.49 bhp,5.0,,5.5,0.031706966070666594
476,476,Hyundai Grand i10 Sportz,Delhi,2015,27000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,4.5,0.052479729756564085
477,477,Ford Figo 2015-2019 1.2P Titanium MT,Hyderabad,2018,3678,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5.0,,6.8,0.03617414121530438
478,478,Skoda Octavia Ambition 1.4 TSI MT,Mumbai,2013,21000,Petrol,,First,16.8 kmpl,1395 CC,138.02 bhp,5.0,,8.75,0.053176383374755234
479,479,Renault Duster 85PS Diesel RxL Option,Mumbai,2015,67000,Diesel,Manual,Second,19.87 kmpl,1461 CC,83.8 bhp,5.0,,7.0,0.030117617358002224
480,480,Land Rover Range Rover Evoque 2.0 TD4 Pure,Delhi,2015,24000,Diesel,Automatic,Second,15.68 kmpl,1999 CC,177 bhp,5.0,,33.5,0.10062101456228145
481,481,Ford Figo Diesel EXI,Chennai,2011,75000,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,,2.25,0.04790692543737407
482,482,Ford Endeavour Hurricane Limited Edition,Hyderabad,2008,179000,Diesel,Automatic,Second,12.8 kmpl,2953 CC,156 bhp,7.0,,4.24,0.12508806103897918
483,483,Toyota Fortuner 4x4 MT,Coimbatore,2017,47198,Diesel,Manual,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,28.42,0.0774918228947278
484,484,Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2012,52000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,2.75,0.008626215678495235
485,485,Maruti Ritz VDi,Jaipur,2011,91000,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,3.0,0.09783791844071099
486,486,Nissan Micra Diesel XV Premium,Pune,2013,60000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,3.55,0.05090866044216164
487,487,Hyundai Verna 1.6 SX,Kolkata,2013,37873,Diesel,Manual,First,,1582 CC,126.32 bhp,5.0,,4.8,0.02307705709035198
488,488,BMW 5 Series 2003-2012 523i,Kolkata,2011,31000,Petrol,Automatic,First,10.8 kmpl,2497 CC,150 bhp,5.0,,13.5,0.07603011068697668
489,489,Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,Diesel,Automatic,First,11.0 kmpl,2987 CC,258 bhp,7.0,1 Cr,56.0,0.1009633553881813
490,490,Honda CR-V 2.4L 4WD AT,Hyderabad,2004,78000,Petrol,Automatic,First,12.0 kmpl,2354 CC,187.4 bhp,5.0,,3.99,0.0806011044556101
491,491,Hyundai Creta 1.6 CRDi AT SX Plus,Bangalore,2016,32000,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5.0,,15.5,0.05033685145195348
492,492,Hyundai i10 Era,Jaipur,2010,59000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,,2.32,0.02277323316645617
493,493,Mercedes-Benz A Class A200 CDI Sport,Kochi,2016,35437,Diesel,Automatic,First,20.0 kmpl,2143 CC,136 bhp,5.0,,18.58,0.05582789594083113
494,494,Maruti Ertiga VXI,Jaipur,2014,98000,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,,5.5,0.04937690549261158
495,495,Skoda Octavia Classic 1.9 TDI MT,Chennai,2006,72000,Diesel,Manual,Second,18.7 kmpl,1896 CC,66 bhp,5.0,,3.2,0.08432040486203211
496,496,Honda Amaze VX i-Vtech,Pune,2015,79000,Petrol,,First,,1198 CC,86.7 bhp,5.0,,4.0,0.023996676031484716
497,497,Maruti Zen LXi BSII,Chennai,2004,29000,Petrol,Manual,First,17.3 kmpl,993 CC,60 bhp,5.0,,1.6,0.07694487692367674
498,498,Maruti SX4 ZXI MT BSIV,Kochi,2013,66012,Petrol,Manual,First,15.5 kmpl,1586 CC,103.3 bhp,5.0,,4.15,0.09151643291788536
499,499,Honda Brio VX AT,Mumbai,2014,35000,Petrol,Automatic,First,16.5 kmpl,1198 CC,86.8 bhp,5.0,,4.25,0.02128110723286741
500,500,Maruti Wagon R VXI,Ahmedabad,2011,75000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,2.6,0.09371731896860595
501,501,Toyota Camry A/T,Mumbai,2008,80000,Petrol,Automatic,Second,12.1 kmpl,2362 CC,164.7 bhp,5.0,,3.43,0.036931918081571286
502,502,Chevrolet Beat LS,Kochi,2012,32717,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,,2.55,0.06352872559312356
503,503,Toyota Fortuner 4x4 AT,Delhi,2017,25000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,32.0,0.014031785329280946
504,504,Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,79000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,6.25,0.03705406192161957
505,505,Maruti Swift Vdi BSIII,Hyderabad,2010,86000,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,5.0,,3.6,0.08348908959167962
506,506,Mercedes-Benz S Class 2005 2013 S 350 CDI,Pune,2010,137000,Diesel,Automatic,First,13.5 kmpl,2987 CC,282 bhp,5.0,,18.5,0.11564960478740505
507,507,Honda Mobilio S i VTEC,Mumbai,2015,25000,Petrol,Manual,Second,17.3 kmpl,1497 CC,117.3 bhp,7.0,,4.25,0.05895400102000878
508,508,Hyundai Grand i10 Sportz,Mumbai,2017,8500,Petrol,Manual,Second,18.9 kmpl,1197 CC,82 bhp,5.0,,4.8,0.019268330839007586
509,509,Mahindra XUV500 AT W8 FWD,Bangalore,2015,34000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7.0,,13.0,0.09864101904590315
510,510,Skoda Fabia 1.6 MPI Elegance,Pune,2012,41629,Petrol,Manual,Second,14.83 kmpl,1598 CC,105 bhp,5.0,,2.25,0.03963410878722959
511,511,Hyundai Santro Xing GLS,Hyderabad,2009,80227,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,,2.3,0.020816041116759755
512,512,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Kochi,2019,8587,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,,13.56,0.06699135072195382
513,513,Mahindra Scorpio 1.99 S8,Delhi,2017,30000,Diesel,Manual,First,15.4 kmpl,1997 CC,120 bhp,7.0,,12.25,0.036505545766316455
514,514,Skoda Rapid 1.6 TDI Ambition,Pune,2013,64186,Diesel,Manual,First,20.5 kmpl,1598 CC,103.5 bhp,5.0,,3.76,0.044711233020109785
515,515,Renault Duster 110PS Diesel RxZ,Coimbatore,2015,76427,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,8.58,0.08933615028373547
516,516,BMW X5 xDrive 30d,Hyderabad,2011,75000,Diesel,Automatic,First,11.7 kmpl,2993 CC,245 bhp,5.0,,27.5,0.08660124252366161
517,517,Toyota Etios G,Coimbatore,2013,27075,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,5.0,,4.95,0.0866114889733285
518,518,Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,4.74 Lakh,3.3,0.04513408984075612
519,519,Hyundai Creta 1.6 SX,Chennai,2016,69434,Petrol,Manual,First,15.8 kmpl,1591 CC,121.3 bhp,5.0,14.84 Lakh,8.0,0.04642348392006263
520,520,Maruti Celerio VXI,Jaipur,2014,56000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,2.79,0.01497071668075536
521,521,Land Rover Range Rover HSE Dynamic,Coimbatore,2017,49275,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,45.64,0.018652806366199832
522,522,Chevrolet Beat LT,Pune,2014,8700,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5.0,,2.55,0.07120730620762614
523,523,Tata Nano Twist XT,Ahmedabad,2014,18000,Petrol,Manual,Second,25.4 kmpl,624 CC,37.5 bhp,4.0,,1.0,0.06377865258184644
524,524,Audi A6 2011-2015 35 TDI Technology,Coimbatore,2017,41041,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,37.56,0.04975201927928255
525,525,Mercedes-Benz E-Class 280 CDI,Kochi,2009,80464,Diesel,,Second,11.0 kmpl,2987 CC,198.5 bhp,5.0,,9.29,0.035403533311579624
526,526,Maruti Swift VXI,Kochi,2019,20667,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,,6.37,0.07141825694178086
527,527,Fiat Linea T Jet,Coimbatore,2013,60283,Petrol,Manual,First,14.6 kmpl,1368 CC,112 bhp,5.0,,2.98,0.055997029676942846
528,528,Maruti Swift VXI Optional,Kochi,2017,31696,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,5.75,0.03940416412838582
529,529,Toyota Fortuner 3.0 Diesel,Hyderabad,2010,100000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,13.0,0.04202688712754611
530,530,Maruti Ertiga ZXI,Mumbai,2014,13361,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,,6.8,0.07963999146517091
531,531,BMW 3 Series 320i Sedan,Coimbatore,2010,48394,Petrol,Automatic,First,12.05 kmpl,1995 CC,154 bhp,5.0,,10.49,0.0480310793978808
532,532,Maruti Ertiga VXI,Jaipur,2014,47399,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,,5.6,0.07502768090455221
533,533,Honda City 1.5 V AT,Mumbai,2010,69000,Petrol,Automatic,Second,16.8 kmpl,1497 CC,118 bhp,5.0,,2.85,0.050522607106488183
534,534,Hyundai Santa Fe 4X4,Coimbatore,2013,65278,Diesel,Manual,First,14.66 kmpl,2199 CC,194.3 bhp,7.0,,8.36,0.037594291681457954
535,535,Tata Indigo LS,Jaipur,2005,108000,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,5.0,,1.0,0.09780118937313098
536,536,Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Kolkata,2010,50645,Petrol,Automatic,Second,10.93 kmpl,2497 CC,204 bhp,5.0,,10.75,0.08471734007336859
537,537,Maruti Swift Dzire LDi,Hyderabad,2011,130002,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,,3.85,0.1138934341992894
538,538,Ford Fiesta Classic 1.4 Duratorq CLXI,Hyderabad,2012,107000,Diesel,Manual,First,17.8 kmpl,1399 CC,67 bhp,5.0,,3.0,0.07605981600969983
539,539,Honda City i VTEC CVT VX,Coimbatore,2015,41950,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,,9.6,0.03019693936806872
540,540,Toyota Fortuner 4x2 Manual,Delhi,2012,109000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,13.25,0.03080602274597838
541,541,Honda Amaze VX O i VTEC,Mumbai,2016,9000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,5.75,0.010404392853443679
542,542,Hyundai i20 Asta 1.4 CRDi,Delhi,2014,43900,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,6.75,0.008794675582468402
543,543,Chevrolet Enjoy TCDi LTZ 7 Seater,Bangalore,2013,64000,Diesel,Manual,Second,18.2 kmpl,1248 CC,73.8 bhp,7.0,,4.85,0.03028540708106816
544,544,Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,Petrol,Automatic,First,0.0 kmpl,1950 CC,181.43 bhp,5.0,49.49 Lakh,38.99,0.020744985709732686
545,545,Maruti SX4 ZXI AT Leather,Mumbai,2009,77652,Petrol,Automatic,First,12.6 kmpl,1586 CC,103.2 bhp,5.0,,2.85,0.033529696812990194
546,546,Toyota Innova 2.5 VX (Diesel) 7 Seater,Mumbai,2012,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7.0,,9.51,0.048392762519772634
547,547,BMW 5 Series 2003-2012 520d,Ahmedabad,2012,59900,Diesel,Automatic,Second,18.48 kmpl,1995 CC,177 bhp,5.0,,18.5,0.024182018567931885
548,548,Renault Duster 110PS Diesel RxZ,Delhi,2015,73539,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,6.75,0.06982551599170776
549,549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,First,20.68 kmpl,1995 CC,190 bhp,5.0,48.18 Lakh,29.4,0.09141677372165172
550,550,Honda City ZX GXi,Kochi,2009,69690,Petrol,Manual,First,17.7 kmpl,1497 CC,78 bhp,5.0,,3.29,0.014875667329315712
551,551,Maruti Ciaz RS ZDi Plus SHVS,Delhi,2016,41000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,9.5,0.020429297697188525
552,552,Maruti Swift Dzire VXi,Pune,2010,109200,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,,2.2,0.06780517152464804
553,553,Mahindra XUV500 W6 2WD,Pune,2012,80000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,6.5,0.1070154651254409
554,554,Honda Civic 2006-2010 1.8 S MT,Ahmedabad,2007,51000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,,4.9,0.010555850605150774
555,555,Maruti Ertiga ZDI,Pune,2013,105000,Diesel,Manual,Second,25.47 kmpl,1248 CC,88.50 bhp,7.0,12.34 Lakh,6.75,0.05378810084399481
556,556,Toyota Etios Liva GD,Chennai,2013,179000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.04 bhp,5.0,,3.8,0.10726653845168618
557,557,Audi TT 2.0 TFSI,Delhi,2013,12100,Petrol,Automatic,First,9.9 kmpl,1984 CC,207.8 bhp,2.0,,29.5,0.09022511072119596
558,558,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,21.13 kmpl,1498 CC,108.4 bhp,5.0,15.38 Lakh,10.5,0.025107964114926693
559,559,Volkswagen Polo 1.5 TDI Highline,Hyderabad,2015,50000,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,,6.2,0.02160732222776454
560,560,Skoda Laura 1.9 TDI AT Elegance,Jaipur,2009,48000,Diesel,Automatic,First,17.0 kmpl,1896 CC,105 bhp,5.0,,5.0,0.03324198265692377
561,561,Mahindra Renault Logan 1.5 DLE Diesel,Chennai,2007,35000,Diesel,Manual,First,19.2 kmpl,1461 CC,65 bhp,5.0,,2.3,0.017602397700522805
562,562,Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,19.21 Lakh,17.0,0.025746607587366563
563,563,BMW 3 Series 320d Luxury Line,Bangalore,2014,47000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,,25.5,0.09057860467804787
564,564,Honda Jazz 1.5 S i DTEC,Jaipur,2015,63642,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,,5.65,0.1029843747392987
565,565,Honda Amaze VX i-DTEC,Kochi,2015,62550,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,5.6,0.07733300243790452
566,566,Jaguar XF 2.2 Litre Luxury,Kochi,2015,37340,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,,29.98,0.051214982121078015
567,567,Maruti Swift Dzire VDI,Coimbatore,2016,38461,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,,7.39,0.041492702559814326
568,568,Jeep Compass 2.0 Limited,Jaipur,2018,29000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5.0,22.95 Lakh,19.0,0.07951267614284907
569,569,Toyota Corolla Altis 1.8 Sport,Pune,2010,31000,Petrol,Manual,First,12.5 kmpl,1794 CC,132 bhp,5.0,,5.0,0.0783385791256187
570,570,Honda City 1.5 V MT,Kolkata,2011,42086,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,3.35,0.06244090835190973
571,571,Maruti Swift ZXI,Chennai,2013,49000,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,,4.45,0.07456215197970298
572,572,Hyundai Verna 1.6 SX CRDI (O) AT,Coimbatore,2019,77240,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,8.31,0.03645828015023783
573,573,Mahindra Bolero ZLX,Jaipur,2012,105000,Diesel,Manual,Second,15.96 kmpl,2523 CC,62.1 bhp,7.0,11.15 Lakh,6.0,0.09021507924494886
574,574,Maruti Swift VDI,Chennai,2014,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,5.25,0.05111040092833032
575,575,Hyundai Santro Xing XO,Chennai,2006,83072,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5.0,,1.4,0.07257024194440011
576,576,Audi A6 2011-2015 2.0 TDI Premium Plus,Hyderabad,2012,202082,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,12.3,0.05706860238673054
577,577,Ford Ikon 1.3 LXi NXt,Chennai,2004,129000,Petrol,Manual,Third,13.8 kmpl,1299 CC,70 bhp,5.0,,1.5,0.10832336464266665
578,578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,Diesel,Manual,First,20.14 kmpl,1498 CC,88 bhp,5.0,10.32 Lakh,8.12,0.07866042830923996
579,579,Mahindra Bolero VLX CRDe,Coimbatore,2012,60271,Diesel,Manual,First,13.6 kmpl,2523 CC,63 bhp,7.0,,6.12,0.05030198835114344
580,580,Honda City i DTEC VX Option,Coimbatore,2017,45366,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,,10.88,0.015033123169527481
581,581,Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,9500,Petrol,Manual,First,18.2 kmpl,1199 CC,82.5 bhp,5.0,,3.5,0.037631433648250404
582,582,Hyundai i20 1.2 Spotz,Kochi,2016,42362,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,6.15,0.08830630453565606
583,583,BMW X1 sDrive 20d Sportline,Chennai,1804,21000,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5.0,,33.0,0.04175688913499676
584,584,BMW X1 sDrive 20d Exclusive,Mumbai,2012,15200,Diesel,Automatic,First,15.06 kmpl,1995 CC,177 bhp,5.0,,13.5,0.00592478467501794
585,585,Toyota Fortuner 4x2 AT,Mumbai,2015,43690,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,17.11,0.02093866352832207
586,586,Audi Q7 4.2 TDI Quattro Technology,Kochi,2014,79926,Diesel,Automatic,First,11.33 kmpl,4134 CC,335.2 bhp,7.0,,29.77,0.0657279604121357
587,587,Maruti Ertiga VDI,Kolkata,2013,53073,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,5.95,0.04485612955726288
588,588,Hyundai i20 1.2 Magna,Bangalore,2015,59000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,5.75,0.054718052559628416
589,589,Mercedes-Benz S Class 2005 2013 S 350 L,Bangalore,2006,47088,Petrol,Automatic,Second,10.13 kmpl,3498 CC,364.9 bhp,5.0,,19.0,0.06448986417734223
590,590,Renault Duster 85PS Diesel RxL,Ahmedabad,2014,55000,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,4.75,0.06374930865417135
591,591,Mahindra Quanto C2,Hyderabad,2013,80430,Diesel,Manual,Second,17.21 kmpl,1493 CC,100 bhp,7.0,,3.3,0.10986214980405389
592,592,Toyota Fortuner 4x2 AT,Delhi,2013,71932,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,16.5,0.033429733881504275
593,593,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,19000,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,7.0,,44.0,0.10025591627587419
594,594,Maruti Swift Dzire VDi,Hyderabad,2011,81759,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,,4.39,0.09598552992933869
595,595,Maruti Swift LDI Optional,Kochi,2018,52010,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,6.2,0.05624231401571306
596,596,Audi A6 2011-2015 35 TFSI Technology,Kochi,2016,58953,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5.0,,24.22,0.032596043339787856
597,597,Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,Mumbai,2008,93000,Diesel,Manual,Third,10.5 kmpl,2835 CC,107.2 bhp,6.0,,5.45,0.047160431879664615
598,598,Jaguar XF 2.2 Litre Executive,Delhi,2016,10000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,,44.0,0.04923384507449106
599,599,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,28.05 Lakh,24.82,0.03255811698761373
600,600,Skoda Octavia Ambition 2.0 TDI AT,Mumbai,2015,50000,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,5.0,,11.69,0.10234138333226583
601,601,Toyota Corolla Altis VL AT,Bangalore,2018,1331,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,,20.0,0.07141352923212194
602,602,Maruti Omni 8 Seater BSII,Pune,2010,60000,Petrol,Manual,First,19.7 kmpl,796 CC,35 bhp,8.0,,1.45,0.08415038756773098
603,603,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5.0,59.77 Lakh,48.5,0.03330640722625186
604,604,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,Diesel,,First,21.5 kmpl,1498 CC,108.5 bhp,5.0,15.86 Lakh,9.45,0.02116790525924619
605,605,Mahindra XUV500 W10 2WD,Ahmedabad,2015,73000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,12.5,0.05912726495742034
606,606,Nissan Terrano XL 85 PS,Hyderabad,2014,59962,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,6.9,0.044998183012034974
607,607,Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,72000,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5.0,,5.8,0.040100528596930196
608,608,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2016,20967,Diesel,Automatic,First,14.69 kmpl,2993 CC,258 bhp,5.0,,44.56,0.0995561169920347
609,609,Mahindra Scorpio S4 Plus,Bangalore,2015,35000,Diesel,Manual,Second,15.4 kmpl,2179 CC,120 bhp,7.0,,8.5,0.04600109825782767
610,610,Hyundai Verna 1.6 CRDi SX,Coimbatore,2017,38056,Diesel,Manual,First,23.9 kmpl,1582 CC,126.2 bhp,5.0,,10.7,0.08803996395704289
611,611,Audi Q7 3.0 TDI Quattro Premium Plus,Pune,2009,94000,Diesel,Automatic,Second,,2967 CC,241.4 bhp,7.0,,12.0,0.0930922596135242
612,612,Chevrolet Aveo U-VA 1.2 LT,Coimbatore,2010,64236,Petrol,Manual,First,14.7 kmpl,1150 CC,76 bhp,5.0,,2.44,0.08876674986921074
613,613,Mahindra Bolero ZLX BSIII,Kolkata,2000,124000,Diesel,Manual,First,13.6 kmpl,2523 CC,63 bhp,7.0,,1.95,0.03337078985633732
614,614,Hyundai Xcent 1.2 Kappa S,Mumbai,2014,7400,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5.0,,4.35,0.09489264431331138
615,615,Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,19.43 Lakh,17.5,0.09582708773835422
616,616,Hyundai EON Era Plus,Hyderabad,2015,68764,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,2.9,0.08717212966235481
617,617,Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,64000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,2.9,0.03583065133780789
618,618,Maruti Vitara Brezza ZDi,Pune,2016,21558,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,10.65 Lakh,8.9,0.049477164655003715
619,619,BMW 3 Series 320d Prestige,Mumbai,2013,37500,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,,16.75,0.038404673837700076
620,620,Hyundai EON Sportz,Coimbatore,2016,14077,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,3.95,0.07307265482122752
621,621,Honda City 1.5 S MT,Mumbai,2009,70000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,2.1,0.09351990297769425
622,622,Honda Accord 2.4 MT,Kochi,2011,54316,Petrol,Manual,Second,12.8 kmpl,2354 CC,177.6 bhp,5.0,,4.29,0.06057169336032213
623,623,Mahindra Xylo E8,Hyderabad,2009,90764,Diesel,Manual,First,14.0 kmpl,2498 CC,112 bhp,8.0,,3.85,0.017344480730302255
